column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,RA,Decl,Gaia,DR3,ID,Teff,-,LIT,logg,-,LIT,vt,-,LIT,[Fe/H],-,LIT,eTeff,-,LIT,elogg,-,LIT,evt,-,LIT,e[Fe/H],-,LIT,REF,ATM,Teff,-,Gaia,logg,-,Gaia,eTeff,-,Gaia,elogg,-,Gaia,[Eu/Fe],[Fe/H],Se,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Os,Pt,Th,e[Fe/H],eSe,eSr,eY,eZr,eNb,eMo,eRu,eRh,ePd,eAg,eCd,eSn,eTe,eBa,eLa,eCe,ePr,eNd,eSm,eEu,eGd,eTb,eDy,eHo,eEr,eTm,eYb,eHf,eOs,ePt,eTh,r[Fe/H],rSe,rSr,rY,rZr,rNb,rMo,rRu,rRh,rPd,rAg,rCd,rSn,rTe,rBa,rLa,rCe,rPr,rNd,rSm,rEu,rGd,rTb,rDy,rHo,rEr,rTm,rYb,rHf,rOs,rPt,rTh
BPS,CS,31082-001,01:29:31.13,-16:00:45.5,"2,45177394195871E+018",4825,1.50,1.80,-2.90,50,0.30,0.20,0.10,Hi02,5006,1.97,92,0.09,1.69,-2.90,,0.68,-0.23,0.51,-0.55,-0.11,0.32,-0.42,-0.09,-0.88,,,,0.40,-0.62,-0.29,-0.79,-0.15,-0.42,-0.69,-0.21,-1.01,-0.07,-0.80,-0.30,-1.15,-0.41,-0.72,0.18,0.30,-0.98,0.10,,0.10,0.07,0.08,0.12,0.13,0.12,0.12,0.07,0.21,,,,0.14,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.11,0.05,0.07,0.23,0.13,Hi02,,Hi02,Si13,Si13,Si13,Si13,Si13,Si13,Si13,Si13,,,,Hi02,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Ba11,Ba11,Hi02,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,CS,29497-004,00:28:06.92,-26:03:04.3,"2,32272972540559E+018",5013,2.05,1.60,-2.85,100,0.10,0.10,0.11,Hi17,5151,2.16,93,0.11,1.67,-2.84,,0.72,-0.09,0.65,-0.28,0.15,0.58,-0.18,0.25,-0.46,,,,0.35,-0.38,-0.19,-0.67,-0.02,-0.30,-0.65,-0.31,-1.08,-0.08,-0.76,-0.29,-1.18,-0.22,-0.64,0.41,0.50,-1.16,0.12,,0.11,0.08,0.07,0.07,0.14,0.15,0.16,0.18,0.17,,,,0.12,0.08,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.07,0.17,0.11,0.08,0.20,0.07,0.12,0.21,0.08,Hi17,,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,,,,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,Hi17,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,CS,22892-052,22:17:01.66,-16:39:27.1,"6,82602598635039E+018",4800,1.50,1.95,-3.12,75,0.30,0.15,0.10,Sn03,4976,,92,,1.64,-3.09,,0.41,-0.47,0.26,-0.78,-0.40,0.08,-0.55,-0.29,-0.90,,,,-0.01,-0.84,-0.46,-0.96,-0.37,-0.61,-0.93,-0.42,-1.13,-0.26,-0.92,-0.48,-1.39,-0.55,-0.88,0.04,0.20,-1.57,0.13,,0.13,0.10,0.12,0.09,0.20,0.10,0.15,0.10,0.11,,,,0.12,0.05,0.05,0.07,0.06,0.07,0.05,0.07,0.04,0.06,0.02,0.04,0.04,0.10,0.04,0.15,0.15,0.10,Sn03,,Sn03,Sn03,Sn03,Ni10,Sn03,Sn03,Sn03,Sn03,Sn03,,,,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Sn09,Co05,Co05,Sn03,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS,J14325334-4125494,14:32:53.34,-41:25:49.5,"6,1033741336616E+018",4900,1.70,1.60,-2.97,150,0.30,0.30,0.18,Ca18,5174,2.29,94,0.07,1.44,-2.97,,0.18,-0.60,0.13,,-0.25,-0.02,,-0.12,,,,,0.03,-0.86,-0.53,-0.98,-0.34,-0.67,-1.01,-0.51,-1.22,-0.39,-1.18,-0.66,-1.45,-0.79,-0.84,0.00,,-1.47,0.18,,0.34,0.10,0.11,,0.20,0.09,,0.20,,,,,0.13,0.05,0.08,0.06,0.08,0.05,0.14,0.09,0.07,0.06,0.07,0.09,0.14,0.10,0.26,0.10,,0.10,Ca18,,Ca18,Ca18,Ca18,,Ca18,Ca18,,Ca18,,,,,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,Ca18,,Ca18,,,,,,,,,,,,,,,,,,,,,,,,,,
HE,1219-0312,12:21:34.14,-03:28:39.6,"3,69329711719054E+018",5060,2.30,1.60,-2.96,160,0.20,0.10,0.14,Ha09,5207,,95,,1.38,-2.97,,0.32,-0.52,0.27,,,,,-0.25,,,,,-0.14,-0.86,-0.52,-1.17,-0.41,-0.59,-1.07,-0.41,,-0.34,-1.13,-0.56,-1.51,,-0.97,,,-1.29,0.16,,0.18,0.15,0.14,,,,,0.23,,,,,0.13,0.12,0.21,0.14,0.12,0.15,0.10,0.15,,0.13,0.17,0.14,0.16,,0.22,,,0.14,Ha09,,Ha09,Ha09,Ha09,,,,,Ha09,,,,,Ha09,Ha09,Ha09,Ha09,Ha09,Ha09,Ha09,Ha09,,Ha09,Ha09,Ha09,Ha09,,Ha09,,,Ha09,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,222925,23:45:17.61,-61:54:42.8,"6,48779917151246E+018",5636,2.54,2.20,-1.50,103,0.17,0.20,0.10,Ro18,5579,2.58,99,0.07,1.32,-1.46,2.62,1.98,1.04,1.74,0.71,1.36,1.32,0.64,1.05,0.44,0.34,1.39,1.63,1.26,0.51,0.85,0.22,0.88,0.62,0.38,0.82,0.18,1.01,0.12,0.73,-0.09,0.55,0.32,1.17,1.45,-0.06,0.10,0.22,0.13,0.07,0.08,0.11,0.07,0.11,0.12,0.08,0.13,0.17,0.20,0.14,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.12,0.08,0.08,0.19,0.10,0.09,0.10,0.11,R22a,R22a,Ro18,R22a,R22a,R22a,R22a,R22a,Ro18,Ro18,Ro18,R22a,R22a,R22a,Ro18,Ro18,Ro18,Ro18,Ro18,Ro18,R22a,R22a,R22a,R22a,Ro18,R22a,R22a,R22a,R22a,R22a,R22a,Ro18,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS,J15383085-1804242,15:38:30.85,-18:04:24.3,"6,25514203004385E+018",4752,1.63,1.51,-2.09,30,0.10,0.15,0.02,Sa18,5008,2.23,93,0.07,1.27,-2.09,,1.20,0.27,0.89,,,0.57,-0.01,0.28,-0.25,,,,0.69,-0.24,0.08,-0.47,0.17,-0.12,-0.30,0.06,-0.71,0.31,-0.54,-0.13,-0.83,0.25,-0.36,0.42,,-0.97,0.10,,0.12,0.14,0.14,,,0.28,0.28,0.36,0.30,,,,0.08,0.12,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.07,0.07,0.07,0.08,0.11,0.13,0.28,,0.14,Sa18,,Sa18,Sa18,Sa18,,,Sa18,Sa18,Sa18,Sa18,,,,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,Sa18,,Sa18,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,CS,31078-018,03:01:00.69,+06:16:31.8,7189878332862720,5257,2.75,1.50,-2.85,100,0.20,0.20,0.10,La08,5306,2.86,96,0.07,1.23,-2.84,,0.31,-0.52,0.32,,,-0.35,,-0.36,,,,,-0.06,-1.00,-0.67,,-0.62,-0.77,-1.09,-0.76,,-0.77,-1.11,-0.96,,-1.07,,,,-1.35,0.10,,0.09,0.15,0.14,,,0.12,,0.12,,,,,0.31,0.22,0.21,,0.21,0.16,0.17,0.17,,0.15,0.22,0.20,,0.21,,,,0.25,La08,,La08,La08,La08,,,La08,,La08,,,,,La08,La08,La08,,La08,La08,La08,La08,,La08,La08,La08,,La08,,,,La08,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,CS,22953-003,01:02:15.87,-61:43:45.8,"4,71059468714405E+018",5100,2.30,1.70,-2.80,100,0.10,0.20,0.10,Sp18,5146,2.08,93,0.09,1.03,-2.84,,0.30,-0.46,0.12,,-0.50,-0.25,,-0.70,,,,,-0.22,-1.01,-0.60,-1.45,-0.62,-1.49,-1.29,-0.71,,-0.66,-1.40,-0.85,,-0.74,,,,,0.10,,0.20,0.20,0.20,,0.20,0.20,,0.20,,,,,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.20,,0.20,0.20,0.20,,0.20,,,,,Sp18,,Sp18,Sp18,Sp18,,Sp18,Sp18,,Sp18,,,,,Fr07,Fr07,Fr07,Fr07,Fr07,Fr07,Sp18,Fr07,,Fr07,Fr07,Fr07,,Fr07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
